EXP,NAME,TYPE,SUBT,RARITY,COLOR,COLORS,MANA,CMC,Legendary,P,T,OBSERVACION,FOIL,,TOTAL,10404,,,SUBTIPO,1491,% SD,,RAREZA,10390,%,,COLOR,10404,%,,COLORS,1744,%,% SD,,MV,10394,%,,Crea/MV,4779,%,% SD,,,
STX,Professor of Zoomancy,Creature,,Common,Green,,3G,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Tangletrap,Instant,,Common,Green,,1G,2,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Aether Helix,Sorcery,,Uncommon,Gold,Green/Blue,3GU,5,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Blade Historian,Creature,,Rare,Gold,Red/White,(R/W)(R/W)(R/W)(R/W),4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Blot Out the Sky,Sorcery,,Mythic,Gold,White/Black,XWB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Closing Statement,Instant,,Uncommon,Gold,White/Black,3WB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Cram Session,Sorcery,,Common,Gold,Black/Green,1(B/G),2,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Creative Outburst,Instant,,Uncommon,Gold,Blue/Red,3UURR,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Culling Ritual,Sorcery,,Rare,Gold,Black/Green,2BG,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Daemogoth Woe-Eater,Creature,,Uncommon,Gold,Black/Green,1B(B/G)G,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Deadly Brew,Sorcery,,Uncommon,Gold,Black/Green,BG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Decisive Denial,Instant,,Uncommon,Gold,Green/Blue,GU,2,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Double Major,Instant,,Rare,Gold,Green/Blue,GU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Dramatic Finale,Enchantment,,Rare,Gold,White/Black,(W/B)(W/B)(W/B)(W/B),4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Elemental Expressionist,Creature,,Rare,Gold,Blue/Red,(U/R)(U/R)(U/R)(U/R),4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Elemental Summoning,Sorcery,Lesson,Common,Gold,Blue/Red,3(U/R)(U/R),5,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Eureka Moment,Instant,,Common,Gold,Green/Blue,2GU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Expressive Iteration,Sorcery,,Uncommon,Gold,Blue/Red,UR,2,,,,PROMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,"Extus, Oriq Overlord",Creature,,Mythic,Gold,White/Black,1WBB,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Fractal Summoning,Sorcery,Lesson,Common,Gold,Green/Blue,X(G/U)(G/U),2,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Fracture,Instant,,Uncommon,Gold,White/Black,WB,2,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Galazeth Prismari,Creature,,Mythic,Gold,Blue/Red,2UR,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Golden Ratio,Sorcery,,Uncommon,Gold,Green/Blue,1GU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Humiliate,Sorcery,,Uncommon,Gold,White/Black,WB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Infuse with Vitality,Instant,,Common,Gold,Black/Green,BG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Inkling Summoning,Sorcery,Lesson,Common,Gold,White/Black,1(W/B)(W/B),3,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,"Killian, Ink Duelist",Creature,,Uncommon,Gold,White/Black,WB,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Lorehold Command,Instant,,Rare,Gold,Red/White,3RW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Lorehold Excavation,Enchantment,,Uncommon,Gold,Red/White,RW,2,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Magma Opus,Instant,,Mythic,Gold,Blue/Red,6UB,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Manifestation Sage,Creature,,Rare,Gold,Green/Blue,(G/U)(G/U)(G/U)(G/U),4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Moldering Karok,Creature,,Common,Gold,Black/Green,2BG,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Mortality Spear,Instant,,Uncommon,Gold,Black/Green,2BG,4,,,,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Needlethorn Drake,Creature,,Common,Gold,Green/Blue,GU,2,,3,3,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Pest Summoning,Sorcery,Lesson,Common,Gold,Black/Green,1(B/G)(B/G),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Prismari Command,Instant,,Rare,Gold,Blue/Red,1UR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Quandrix Command,Instant,,Rare,Gold,Green/Blue,1GU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Radiant Scrollwielder,Creature,,Rare,Gold,Red/White,2RW,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Reconstruct History,Sorcery,,Uncommon,Gold,Red/White,2RW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Returned Pastcaller,Creature,,Uncommon,Gold,Red/White,3R(R/W)W,6,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Rip Apart,Sorcery,,Uncommon,Gold,Red/White,RW,2,,,,PROMO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Rise of Extus,Sorcery,,Common,Gold,White/Black,4(W/B)(W/B),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,"Rootha, Mercurial Artist",Creature,,Uncommon,Gold,Blue/Red,1UR,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Shadrix Silverquill,Creature,,Mythic,Gold,White/Black,3WB,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Silverquill Command,Sorcery,,Rare,Gold,White/Black,2WB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Spectacle Mage,Creature,,Common,Gold,Blue/Red,1UR,3,,3,3,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Spirit Summoning,Sorcery,Lesson,Common,Gold,Red/White,1(R/W)(R/W),3,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Tanazir Quandrix,Creature,,Mythic,Gold,Green/Blue,3GU,5,,3,3,PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Teach by Example,Instant,,Common,Gold,Blue/Red,(U/R)(U/R),2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Tend the Pests,Instant,,Uncommon,Gold,Black/Green,BG,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Thrilling Discovery,Sorcery,,Common,Gold,Red/White,RW,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Vanishing Verse,Instant,,Rare,Gold,White/Black,WB,2,,,,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Velomachus Lorehold,Creature,,Mythic,Gold,Red/White,5WR,7,,3,3,EXT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Venerable Warsinger,Creature,,Rare,Gold,Red/White,1RW,3,,3,3,PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Witherbloom Apprentice,Creature,,Uncommon,Gold,Black/Green,BG,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Witherbloom Pledgemage,Creature,,Common,Gold,Black/Green,3(B/G)(B/G),5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,"Zimone, Quandrix Prodigy",Creature,,Uncommon,Gold,Green/Blue,GU,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Biblioplex Assistant,Creature,,Common,Artifact,,4,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Access Tunnel,Land,,Uncommon,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Expanded Anatomy,Sorcery,Lesson,Common,Colorless,,3,3,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Hall of Oracles,Land,,Rare,Colorless,,,,,,,,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Introduction to Annihilation,Sorcery,Lesson,Common,Colorless,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Introduction to Prophecy,Sorcery,Lesson,Common,Colorless,,3,3,,,,Learn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Mascot Exhibition,Sorcery,Lesson,Mythic,Colorless,,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,The Biblioplex,Land,,Rare,Colorless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STX,Wandering Archaic,Creature,,Rare,Colorless,,5,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Cloudchaser Eagle ,Creature,,Common,White,,3W,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Field of Souls ,Enchantment,,Rare,White,,2WW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Flickering Ward,Enchantment,Aura,Uncommon,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Gallantry,Instant,,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Gerrard's Battle Cry ,Enchantment,,Rare,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Humility,Enchantment,,Rare,White,,2WW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Invulnerability,Instant,,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Knight Of Dawn,Creature,,Uncommon,White,,1WW,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Marble Titan,Creature,,Rare,White,,3W,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Master Decoy,Creature,,Common,White,,1W,2,,3,3,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Orim's Prayer,Enchantment,,Uncommon,White,,1WW,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Repentance ,Sorcery,,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Safeguard,Enchantment,,Rare,White,,3WW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Serene Offering,Instant,,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Emissary,Creature,,Rare,White,,1W,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Lancer,Creature,,Common,White,,2W,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Monk,Creature,,Uncommon,White,,WW,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Priest ,Creature,,Uncommon,White,,WW,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Trooper ,Creature,,Common,White,,1W,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Spirit Mirror,Enchantment,,Rare,White,,2WW,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Staunch Defenders,Creature,,Uncommon,White,,3WW,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Warmth,Enchantment,,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Winds of Rath ,Sorcery,,Rare,White,,3WW,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Worthy Cause,Instant,,Uncommon,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Capsize,Instant,,Common,Blue,,1UU,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dismiss ,Instant,,Uncommon,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Insight,Enchantment,,Uncommon,Blue,,2U,3,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Interdict,Instant,,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Legacy's Allure,Enchantment,,Uncommon,Blue,,UU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Legerdemain,Sorcery,,Uncommon,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Meditate,Instant,,Rare,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Precognition,Enchantment,,Rare,Blue,,4U,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Propaganda ,Enchantment,,Uncommon,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Shadow Rift,Instant,,Common,Blue,,U,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Steal Enchantment ,Enchantment,,Uncommon,Blue,,UU,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Thalakos Dreamsower,Creature,,Uncommon,Blue,,2U,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Thalakos Seer,Creature,,Common,Blue,,UU,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Time Warp,Sorcery,,Rare,Blue,,3UU,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Twitch,Instant,,Common,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Whispers of the Muse,Instant,,Uncommon,Blue,,U,1,,,,TSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Bounty Hunter,Creature,,Rare,Black,,2BB,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Coffin Queen,Creature,,Rare,Black,,2B,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Corpse Dance,Instant,,Rare,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dauthi Embrace,Enchantment,,Uncommon,Black,,2B,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dauthi Horror ,Creature,,Common,Black,,1B,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dauthi Marauder ,Creature,,Common,Black,,2B,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dauthi Mindripper ,Creature,,Uncommon,Black,,3B,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dauthi Slayer,Creature,,Common,Black,,BB,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Diabolic Edict,Instant,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Disturbed Burial,Sorcery,,Common,Black,,1B,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Dregs of Sorrow,Sorcery,,Rare,Black,,X4B,5,,,,Otra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Evincar's Justice,Sorcery,,Common,Black,,2BB,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Extinction,Sorcery,,Rare,Black,,4B,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Fevered Convulsions,Enchantment,,Rare,Black,,BB,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Living Death ,Sorcery,,Rare,Black,,3BB,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Maddening Imp,Creature,,Rare,Black,,2B,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Perish ,Sorcery,,Uncommon,Black,,2B,3,,,,Idioma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Reanimate,Sorcery,,Uncommon,Black,,B,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Reckless Spite,Instant,,Uncommon,Black,,1BB,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Aftershock,Sorcery,,Common,Red,,2RR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Apocalypse ,Sorcery,,Rare,Red,,2RRR,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Blood Frenzy ,Instant,,Common,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Deadshot,Sorcery,,Rare,Red,,3R,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Enraging Licid ,Creature,,Uncommon,Red,,1R,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Furnace of Rath,Enchantment,,Rare,Red,,1RRR,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Goblin Bombardment,Enchantment,,Uncommon,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Havoc ,Enchantment,,Uncommon,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Kindle,Instant,,Common,Red,,1R,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Lightning Blast,Instant,,Common,Red,,3R,4,,,,Otra,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Magmasaur ,Creature,,Rare,Red,,3RR,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Rolling Thunder,Sorcery,,Common,Red,,XRR,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Searing Touch,Instant,,Uncommon,Red,,R,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Starke of Rath ,Creature,,Rare,Red,,1RR,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Stun,Instant,,Common,Red,,1R,2,,,,IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Elvish Fury,Instant,,Common,Green,,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Mongrel Pack ,Creature,,Rare,Green,,3G,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Overrun ,Sorcery,,Uncommon,Green,,2GGG,5,,,,OD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Recycle ,Enchantment,,Rare,Green,,4GG,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Respite,Instant,,Common,Green,,1G,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Storm Front ,Enchantment,,Uncommon,Green,,G,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Verdigris,Instant,,Uncommon,Green,,2G,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Ranger en-Vec,Creature,,Uncommon,Gold,Green/White,1GW,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,"Selenia, Dark Angel ",Creature,,Rare,Gold,White/Black,3WB,5,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Sky Spirit,Creature,,Uncommon,Gold,White/Blue,1WU,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Soltari Guerrillas ,Creature,,Rare,Gold,Red/White,2RW,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Spontaneous Combustion,Instant,,Uncommon,Gold,Black/Red,1BR,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Vhati il-Dal,Creature,,Rare,Gold,Black/Green,2BG,4,,3,3,TSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Bottle Gnomes,Creature,,Uncommon,Artifact,,3,3,,3,3,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Cold Storage,Artifact,,Rare,Artifact,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Cursed Scroll ,Artifact,,Rare,Artifact,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Cursed Totem,Artifact,,Rare,Artifact,,2,2,,,,MH2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Echo Chamber ,Artifact,,Rare,Artifact,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Emmessi Tome,Artifact,,Rare,Artifact,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Fool's Tome ,Artifact,,Rare,Artifact,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Helm of Possession,Artifact,,Rare,Artifact,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Phyrexian Grimoire,Artifact,,Rare,Artifact,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Puppet Strings,Artifact,,Uncommon,Artifact,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TE,Stalking Stones,Land,,Uncommon,Colorless,,,,,,,MR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Alseid of Life's Bounty,Creature,Enchantment,Uncommon,White,,W,1,,3,3,PROMO,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Archon of Falling Stars,Creature,,Uncommon,White,,4WW,6,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Archon of Sun's Grace,Creature,,Rare,White,,2WW,4,,3,3,PRE,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,"Daxos, Blessed by the Sun",Creature,Enchantment,Uncommon,White,,WW,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Dreadful Apathy,Enchantment,Aura,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Elspeth Conquers Death,Enchantment,Saga,Rare,White,,3WW,5,,,,PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Heliod's Intervention,Instant,,Rare,White,,XWW,2,,,,PACK,FOIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Heliod's Punishment,Enchantment,Aura,Uncommon,White,,1W,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Lagonna-Band Storyteller,Creature,,Uncommon,White,,3W,4,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Leonin of the Lost Pride,Creature,,Common,White,,1W,2,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Omen of the Sun,Enchantment,Aura,Common,White,,2W,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Sentinel's Eyes,Enchantment,Aura,Common,White,,W,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Shatter the Sky,Sorcery,,Rare,White,,2WW,4,,,,PACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,"Taranika, Akroan Veteran",Creature,,Rare,White,,1WW,3,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Triumphant Surge,Instant,,Common,White,,3W,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Ashiok's Erasure,Enchantment,,Rare,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Deny the Divine,Instant,,Common,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Eidolon of Philosophy,Creature,Enchantment,Common,Blue,,U,1,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Glimpse of Freedom,Instant,,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Ichthyomorphosis,Enchantment,Aura,Common,Blue,,2U,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Medomai's Prophecy,Enchantment,Saga,Uncommon,Blue,,1U,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Memory Drain,Instant,,Common,Blue,,2UU,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
THB,Nadir Kraken,Creature,,Rare,Blue,,1UU,3,,3,3,SNCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
